No.,Observed Passband,Photometry Measurement,Uncertainty,Units,Frequency,Flux Density,Upper limit of uncertainty,Lower limit of uncertainty,Upper limit of Flux Density,Lower limit of Flux Density,NED Uncertainty,NED Units,Refcode,Significance,Published frequency,Frequency Mode,Coordinates Targeted,Spatial Mode,Qualifiers,Comments
1,2-10 keV (ASCA),1.1E-13,,ergs/s/cm^2^,1.45E18,7.59E-9,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,6.00 keV,Broad-band measurement,233.7458 +23.4932 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
2,2-10 keV (Suzaku),9.8E-14,+/-0.24E-13,erg/s/cm^2^,1.45E18,6.76E-9,1.66E-9,1.66E-9,,,+/-1.66E-09,Jy,2009ApJ...691..261T,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
3,2-10 keV,1.07E-13,+/-0.18E-13,erg/s/cm^2^,1.45E18,7.38E-9,1.24E-9,1.24E-9,,,+/-1.24E-09,Jy,2011ApJ...729...52L,uncertainty,6.00 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
4,2-10 keV (XMM),1.11E-13,,erg/cm^2^/s,1.45E18,7.66E-9,,,,,,Jy,2014A&A...569A..71C,no uncertainty reported,6.00 keV,Broad-band measurement,,From fitting to map,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
5,2-7 keV (Chandra),6.6E-14,,erg/s/cm^2^,1.09E18,6.06E-9,,,,,,Jy,2011A&A...529A.106I,no uncertainty reported,4.50 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
6,0.7-7 keV (ASCA),2.1E-13,,ergs/s/cm^2^,9.31E17,2.26E-8,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,3.85 keV,Broad-band measurement,233.7458 +23.4932 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
7,EO IPC (0.1-4.5 keV),45.69,,nJy,3.87E17,4.57E-8,,,,,,Jy,1996MNRAS.278.1049R,no uncertainty reported,1.6        keV,Broad-band measurement; broad-band flux derived by integration over spectrum; synthetic band,153457.22 +233011.40 (J2000),Integrated from scans,,Homogenized from previously published data
8,0.7-2 keV (ASCA),1.4E-13,,ergs/s/cm^2^,3.26E17,4.29E-8,,,,,,Jy,2001ApJS..133....1U,no uncertainty reported,1.35 keV,Broad-band measurement,233.7458 +23.4932 (J2000),Flux integrated from map,,From reprocessed raw data; Extinction-corrected for MilkyWay; NED frequency assigned to mid-point of band in keV
9,0.5-2 keV (Suzaku),6.6E-14,+/-0.10E-13,erg/s/cm^2^,3.02E17,2.19E-8,3.31E-9,3.31E-9,,,+/-3.31E-09,Jy,2009ApJ...691..261T,uncertainty,1.25 keV,Broad-band measurement,,Modelled datum,,From new raw data; NED frequency assigned to mid-point ofband in keV
10,0.5-2 keV (Chandra),2.7E-14,,erg/s/cm^2^,3.02E17,8.94E-9,,,,,,Jy,2011A&A...529A.106I,no uncertainty reported,1.25 keV,Broad-band measurement,,Modelled datum,,From reprocessed raw data; NED frequency assigned tomid-point of band in keV
11,FUV (GALEX) AB,18.97,+/-0.12,mag,1.96E15,9.42E-5,1.01E-5,1.01E-5,,,+/-1.01E-05,Jy,2014ApJS..212...18B,uncertainty,1531   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data
12,FUV (GALEX) AB,18.57,+/-0.12,mag,1.96E15,1.36E-4,1.45E-5,1.45E-5,,,+/-1.45E-05,Jy,2014ApJS..212...18B,uncertainty,1531   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data; Extinction-corrected for Milky Way
13,UVW2 (Swift) AB,17.55,+/-0.10,mag,1.48E15,3.46E-4,3.18E-5,3.18E-5,,,+/-3.18E-05,Jy,2014ApJS..212...18B,uncertainty,2026   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
14,UVW2 (Swift) AB,17.96,+/-0.10,mag,1.48E15,2.38E-4,2.19E-5,2.19E-5,,,+/-2.19E-05,Jy,2014ApJS..212...18B,uncertainty,2026   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
15,NUV (GALEX) AB,17.26,+/-0.10,mag,1.31E15,4.53E-4,4.17E-5,4.17E-5,,,+/-4.17E-05,Jy,2014ApJS..212...18B,uncertainty,2286   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data; Extinction-corrected for Milky Way
16,NUV (GALEX) AB,17.66,+/-0.10,mag,1.31E15,3.13E-4,2.88E-5,2.88E-5,,,+/-2.88E-05,Jy,2014ApJS..212...18B,uncertainty,2286   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data
17,u (SDSS) AB,15.26,+/-0.05,mag,8.44E14,0.00285,1.31E-4,1.31E-4,,,+/-1.31E-04,Jy,2014ApJS..212...18B,uncertainty,3551   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
18,u (SDSS) AB,15.48,+/-0.05,mag,8.44E14,0.00232,1.07E-4,1.07E-4,,,+/-1.07E-04,Jy,2014ApJS..212...18B,uncertainty,3551   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
19,U_T (VATT),14.341,+/-0.023,mag,8.19E14,0.00332,6.98E-5,6.98E-5,,,+/-6.98E-05,Jy,2005ApJ...630..784T,uncertainty,3660   A,Broad-band measurement,15 34 56.33 +23 29 33.8 (J2000),Total flux,,From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed
20,U (U_T),14.27,+/-0.15,mag,8.19E14,0.00355,5.09E-4,5.09E-4,,,+/-5.09E-04,Jy,1991RC3.9.C...0000d,rms uncertainty,3660       A,Broad-band measurement,153247.3 +234006 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
21,U (U_T^0),13.87,,mag,8.19E14,0.00513,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,3660       A,Broad-band measurement,153247.3 +234006 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
23,103a-O (POSS-I O),14.43,,mag,7.4E14,0.00644,,,,,,Jy,2006ApJ...639...37K,no uncertainty reported,4050   A,Broad-band measurement,153457.1 +233007 (J2000),Flux integrated from map,,Averaged new and previously published data
26,m_p,14.4,+/-0.4,mag,6.81E14,0.0074,0.0033,0.0033,,,+/-3.30E-03,Jy,1963CGCG2.C...0000Z,rms noise,4400       A,Broad-band measurement,153248.0 +234000. (B1950),Estimated by eye,,From new raw data
27,B_T (VATT),14.011,+/-0.011,mag,6.81E14,0.0106,1.07E-4,1.07E-4,,,+/-1.07E-04,Jy,2005ApJ...630..784T,uncertainty,4400   A,Broad-band measurement,15 34 56.33 +23 29 33.8 (J2000),Total flux,,From new raw data; Standard Johnson UBVRI filters assumed
28,B (UH),14.0,+/-0.07,mag,6.81E14,0.0107,6.9E-4,6.9E-4,,,+/-6.90E-04,Jy,2000ApJ...529..170S,uncertainty,4400   A,Broad-band measurement,15 34 57.3 +23 30 11.9 (J2000),Flux in fixed aperture,,From new raw data
29,B (UH),17.6,+/-0.1,mag,6.81E14,3.89E-4,3.58E-5,3.58E-5,,,+/-3.58E-05,Jy,2000ApJ...529..170S,uncertainty,4400   A,Broad-band measurement,15 34 57.3 +23 30 11.9 (J2000),Flux in fixed aperture,Nuclear mag,From new raw data
30,B (B_T),13.94,+/-0.14,mag,6.81E14,0.0113,0.00156,0.00156,,,+/-1.56E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,153247.3 +234006 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
31,B (m_B),13.9,+/-0.20,mag,6.81E14,0.0117,0.00237,0.00237,,,+/-2.37E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,4400       A,Broad-band measurement,153247.3 +234006 (B1950),Multiple methods,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
32,B (B_T^0),13.61,,mag,6.81E14,0.0153,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,4400       A,Broad-band measurement,153247.3 +234006 (B1950),Multiple methods,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
33,g (SDSS) AB,13.68,+/-0.05,mag,6.4E14,0.0123,5.65E-4,5.65E-4,,,+/-5.65E-04,Jy,2014ApJS..212...18B,uncertainty,4681   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
34,g (SDSS) AB,13.85,+/-0.05,mag,6.4E14,0.0104,4.81E-4,4.81E-4,,,+/-4.81E-04,Jy,2014ApJS..212...18B,uncertainty,4681   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
38,V_T (VATT),13.187,+/-0.018,mag,5.42E14,0.0193,3.17E-4,3.17E-4,,,+/-3.17E-04,Jy,2005ApJ...630..784T,uncertainty,5530   A,Broad-band measurement,15 34 56.33 +23 29 33.8 (J2000),Total flux,,From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed
39,V (V_T),13.2,+/-0.14,mag,5.42E14,0.0191,0.00269,0.00269,,,+/-2.69E-03,Jy,1991RC3.9.C...0000d,rms uncertainty,5530       A,Broad-band measurement,153247.3 +234006 (B1950),From multi-aperture data,,Homogenized from new and previously published data; StandardJohnson UBVRI filters assumed
40,V (V_T^0),12.96,,mag,5.42E14,0.0238,,,,,,Jy,1991RC3.9.C...0000d,no uncertainty reported,5530       A,Broad-band measurement,153247.3 +234006 (B1950),From multi-aperture data,,Homogenized from new and previously published data;Extinction-corrected for internal and Milky Way and K-correction applied; Standard Johnson UBVRI filters assumed
41,r (SDSS) AB,13.15,+/-0.05,mag,4.86E14,0.02,9.22E-4,9.22E-4,,,+/-9.22E-04,Jy,2014ApJS..212...18B,uncertainty,6165   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
42,r (SDSS) AB,13.03,+/-0.05,mag,4.86E14,0.0223,0.00103,0.00103,,,+/-1.03E-03,Jy,2014ApJS..212...18B,uncertainty,6165   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
45,H{alpha} (WHT),3.1E-14,+/-15  %,ergs/s/cm^2^/A,4.57E14,0.0446,0.00669,0.00669,,,+/-6.69E-03,Jy,2004ApJ...602..181C,uncertainty,6563   A,Line measurement; flux integrated over line; lines measured in emission,,Flux integrated from map,Circumnuclear flux,From new raw data
49,R_T (VATT),12.471,+/-0.020,mag,4.33E14,0.0297,5.58E-4,5.58E-4,,,+/-5.58E-04,Jy,2005ApJ...630..784T,uncertainty,6930   A,Broad-band measurement,15 34 56.33 +23 29 33.8 (J2000),Total flux,,From new raw data; derived from a flux in a different bandand a color; Standard Johnson UBVRI filters assumed
50,i (SDSS) AB,12.73,+/-0.05,mag,4.01E14,0.0294,0.00135,0.00135,,,+/-1.35E-03,Jy,2014ApJS..212...18B,uncertainty,7480   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
51,i (SDSS) AB,12.64,+/-0.05,mag,4.01E14,0.0319,0.00147,0.00147,,,+/-1.47E-03,Jy,2014ApJS..212...18B,uncertainty,7480   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
52,I (UH),12.25,+/-0.07,mag,3.79E14,0.0321,0.00207,0.00207,,,+/-2.07E-03,Jy,2000ApJ...529..170S,uncertainty,7900   A,Broad-band measurement,15 34 57.3 +23 30 11.9 (J2000),Flux in fixed aperture,,From new raw data
53,I (UH),14.7,+/-0.1,mag,3.79E14,0.00336,3.1E-4,3.1E-4,,,+/-3.10E-04,Jy,2000ApJ...529..170S,uncertainty,7900   A,Broad-band measurement,15 34 57.3 +23 30 11.9 (J2000),Flux in fixed aperture,Nuclear mag,From new raw data
54,z (SDSS) AB,12.48,+/-0.05,mag,3.36E14,0.0371,0.00171,0.00171,,,+/-1.71E-03,Jy,2014ApJS..212...18B,uncertainty,8931   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
55,z (SDSS) AB,12.41,+/-0.05,mag,3.36E14,0.0395,0.00182,0.00182,,,+/-1.82E-03,Jy,2014ApJS..212...18B,uncertainty,8931   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
56,J (ESO/SPM),27.8,+/-1.85,milliJy,2.5E14,0.0278,0.00185,0.00185,,,+/-1.85E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.198      microns,Broad-band measurement,153246.8 +234007 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
57,J (2MASS) AB,11.93,+/-0.05,mag,2.43E14,0.0612,0.00282,0.00282,,,+/-2.82E-03,Jy,2014ApJS..212...18B,uncertainty,12320   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
58,J (2MASS) AB,11.97,+/-0.05,mag,2.43E14,0.0591,0.00272,0.00272,,,+/-2.72E-03,Jy,2014ApJS..212...18B,uncertainty,12320   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
59,F_J (total),1.9,+/-1.31,log milliJy,2.41E14,0.0794,0.0206,0.0206,,,+/-2.06E-02,Jy,1995ApJ...453..616S,1 sigma,1.244      microns,Broad-band measurement,,Corrected to total flux from single aperture measurement,,Homogenized from new and previously published data
60,J_20 (2MASS LGA),11.21,+/-0.019,mag,2.4E14,0.0522,9.22E-4,9.22E-4,,,+/-9.22E-04,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux integrated from map,45.0 x   45.0 arcsec integration area.,From new raw data
61,J_14arcsec (2MASS),12.041,+/-0.017,mag,2.4E14,0.0243,3.83E-4,3.83E-4,,,+/-3.83E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.25      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture,From new raw data
62,J_tot (2MASS LGA),11.035,+/-0.026,mag,2.4E14,0.0614,0.00149,0.00149,,,+/-1.49E-03,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Total flux,,From new raw data
63,J_Kron (2MASS LGA),11.21,+/-0.019,mag,2.4E14,0.0522,9.22E-4,9.22E-4,,,+/-9.22E-04,Jy,2003AJ....125..525J,1 sigma uncert.,1.25      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux integrated from map,45.0 x   45.0 arcsec integration area.,From new raw data
64,H (ESO/SPM),45.1,+/-3.00,milliJy,1.9E14,0.0451,0.003,0.003,,,+/-3.00E-03,Jy,1995ApJ...453..616S,rms uncertainty,1.580      microns,Broad-band measurement,153246.8 +234007 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
65,F_H (total),2.16,+/-1.57,log milliJy,1.84E14,0.145,0.0374,0.0374,,,+/-3.74E-02,Jy,1995ApJ...453..616S,1 sigma,1.634      microns,Broad-band measurement,,Corrected to total flux from single aperture measurement,,Homogenized from new and previously published data
66,H_20 (2MASS LGA),10.413,+/-0.019,mag,1.82E14,0.07,0.00124,0.00124,,,+/-1.24E-03,Jy,2003AJ....125..525J,1 sigma uncert.,1.65      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux integrated from map,45.0 x   45.0 arcsec integration area.,From new raw data
67,H (UH),10.93,+/-0.07,mag,1.82E14,0.0442,0.00285,0.00285,,,+/-2.85E-03,Jy,2000ApJ...529..170S,uncertainty,1.65   microns,Broad-band measurement,15 34 57.3 +23 30 11.9 (J2000),Flux in fixed aperture,,From new raw data
68,H (UH),11.6,+/-0.1,mag,1.82E14,0.0238,0.00219,0.00219,,,+/-2.19E-03,Jy,2000ApJ...529..170S,uncertainty,1.65   microns,Broad-band measurement,15 34 57.3 +23 30 11.9 (J2000),Flux in fixed aperture,Nuclear mag,From new raw data
69,H_Kron (2MASS LGA),10.412,+/-0.019,mag,1.82E14,0.0701,0.00124,0.00124,,,+/-1.24E-03,Jy,2003AJ....125..525J,1 sigma uncert.,1.65      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux integrated from map,45.0 x   45.0 arcsec integration area.,From new raw data
70,H_tot (2MASS LGA),10.306,+/-0.028,mag,1.82E14,0.0772,0.00202,0.00202,,,+/-2.02E-03,Jy,2003AJ....125..525J,1 sigma uncert.,1.65      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Total flux,,From new raw data
71,H_14arcsec (2MASS),11.107,+/-0.017,mag,1.82E14,0.0369,5.83E-4,5.83E-4,,,+/-5.83E-04,Jy,20032MASX.C.......:,1 sigma uncert.,1.65      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture,From new raw data
72,H (2MASS) AB,11.76,+/-0.06,mag,1.82E14,0.072,0.004,0.004,,,+/-4.00E-03,Jy,2014ApJS..212...18B,uncertainty,16440   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
73,H (2MASS) AB,11.73,+/-0.06,mag,1.82E14,0.0737,0.00409,0.00409,,,+/-4.09E-03,Jy,2014ApJS..212...18B,uncertainty,16440   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
74,K' (UH),10.9,+/-0.1,mag,1.41E14,0.031,0.00285,0.00285,,,+/-2.85E-03,Jy,2000ApJ...529..170S,uncertainty,2.12   microns,Broad-band measurement,15 34 57.3 +23 30 11.9 (J2000),Flux in fixed aperture,Nuclear mag,From new raw data
75,K' (UH),10.62,+/-0.07,mag,1.41E14,0.0401,0.00259,0.00259,,,+/-2.59E-03,Jy,2000ApJ...529..170S,uncertainty,2.12   microns,Broad-band measurement,15 34 57.3 +23 30 11.9 (J2000),Flux in fixed aperture,,From new raw data
76,Ks (2MASS) AB,11.66,+/-0.05,mag,1.39E14,0.0787,0.00363,0.00363,,,+/-3.63E-03,Jy,2014ApJS..212...18B,uncertainty,21590   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
77,Ks (2MASS) AB,11.64,+/-0.05,mag,1.39E14,0.08,0.00368,0.00368,,,+/-3.68E-03,Jy,2014ApJS..212...18B,uncertainty,21590   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
78,K_20 (2MASS LGA),9.957,+/-0.023,mag,1.38E14,0.0694,0.00149,0.00149,,,+/-1.49E-03,Jy,2003AJ....125..525J,1 sigma uncert.,2.17      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux integrated from map,45.0 x   45.0 arcsec integration area.,From new raw data
79,K_Kron (2MASS LGA),9.957,+/-0.023,mag,1.38E14,0.0694,0.00149,0.00149,,,+/-1.49E-03,Jy,2003AJ....125..525J,1 sigma uncert.,2.17      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux integrated from map,45.0 x   45.0 arcsec integration area.,From new raw data
80,K_tot (2MASS LGA),9.852,+/-0.036,mag,1.38E14,0.0764,0.00258,0.00258,,,+/-2.58E-03,Jy,2003AJ....125..525J,1 sigma uncert.,2.17      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Total flux,,From new raw data
81,K_s_14arcsec (2MASS),10.548,+/-0.018,mag,1.38E14,0.0403,6.73E-4,6.73E-4,,,+/-6.73E-04,Jy,20032MASX.C.......:,1 sigma uncert.,2.17      microns,Broad-band measurement,153457.27 +233010.5 (J2000),Flux in fixed aperture,14.0 x 14.0 arcsec aperture,From new raw data
82,F_K (total),2.09,+/-1.50,log milliJy,1.37E14,0.123,0.0319,0.0319,,,+/-3.19E-02,Jy,1995ApJ...453..616S,1 sigma,2.194      microns,Broad-band measurement,,Corrected to total flux from single aperture measurement,,Homogenized from new and previously published data
83,K (ESO/SPM),41.4,+/-2.76,milliJy,1.36E14,0.0414,0.00276,0.00276,,,+/-2.76E-03,Jy,1995ApJ...453..616S,rms uncertainty,2.210      microns,Broad-band measurement,153246.8 +234007 (B1950),Flux in fixed aperture,"15"" aperture",From new raw data
87,W1 (WISE),10.068,+/-0.022,mag,8.95E13,0.0291,5.89E-4,5.89E-4,,,+/-5.89E-04,Jy,2014A&A...570A.110Z,uncertainty,3.35 microns,Broad-band measurement,15 34 57.24 +23 30 11.4 (J2000),From fitting to map,,Averaged from previously published data
88,3.4 microns WISE AB,12.3,+/-0.10,mag,8.93E13,0.0436,0.00402,0.00402,,,+/-4.02E-03,Jy,2014ApJS..212...18B,uncertainty,33570   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data; Extinction-corrected for Milky Way
89,3.4 microns WISE AB,12.31,+/-0.10,mag,8.93E13,0.0432,0.00398,0.00398,,,+/-3.98E-03,Jy,2014ApJS..212...18B,uncertainty,33570   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture; PSF corr",From new raw data
90,3.6 microns IRAC AB,12.26,+/-0.10,mag,8.46E13,0.0453,0.00417,0.00417,,,+/-4.17E-03,Jy,2014ApJS..212...18B,uncertainty,35440   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data
91,3.6 microns IRAC AB,12.25,+/-0.10,mag,8.46E13,0.0457,0.00421,0.00421,,,+/-4.21E-03,Jy,2014ApJS..212...18B,uncertainty,35440   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
94,4.5 microns IRAC AB,12.35,+/-0.10,mag,6.68E13,0.0418,0.00385,0.00385,,,+/-3.85E-03,Jy,2014ApJS..212...18B,uncertainty,44870   A,Broad-band measurement,233.73850000 23.50317000 (J2000),Flux in fixed aperture,"80""x36"" aperture",From new raw data; Extinction-corrected for Milky Way
